FID,FID_,address,adname,adcode,pname,cityname,name,long,lat,_id,type,data_proce
183,5992,黄村南王立庄村北大众食府原湘雅阁,大兴区,110115,北京市,北京市,食为天老妈菜馆,116.352718,39.702676,p#20170618#70884bbee89f62bb03097019f2d168a0,餐饮服务;餐饮相关场所;餐饮相关, 
184,5998,新仓路与新华西街交叉口旁,通州区,110112,北京市,北京市,天津包子(新华西街),116.645764,39.906647,k#20170618#61cdcb0eb79d492a1ba05a641a9b980f,餐饮服务;餐饮相关场所;餐饮相关, 
185,6013,城关南路6-16号附近,房山区,110111,北京市,北京市,福记久久鸭凉菜,115.985435,39.694086,r#20170618#652b8647d1a44488a6a9a58ef2fc188a,餐饮服务;餐饮相关场所;餐饮相关, 
186,6020,良乡东路与黄良路交叉口北200米,房山区,110111,北京市,北京市,啤酒屋(特色烧烤),116.161813,39.732684,a#20170618#8db593712c11483736b541ffd5e0200a,餐饮服务;餐饮相关场所;餐饮相关, 
187,6091,鲁谷南路22-1号,石景山区,110107,北京市,北京市,手撕面包,116.216113,39.899444,t#20170618#dff880d1da8ebcfdce971a6167aea367,餐饮服务;餐饮相关场所;餐饮相关, 
188,6103,集汇大街8号附近,顺义区,110113,北京市,北京市,川景菜手工水区,116.66577,40.108148,6#20170618#90a0c27b66b666220425131ad38d316b,餐饮服务;餐饮相关场所;餐饮相关, 
189,6170,木北路66号杨镇三街公交站红绿灯北100米路东(盲人成才培训学校北侧),顺义区,110113,北京市,北京市,老北京美式炸鸡(杨镇店),116.822408,40.150892,7#20170618#2e7c8ae57c50f9886ce2c27e6e12a865,餐饮服务;餐饮相关场所;餐饮相关, 
190,6181,北七家镇东三旗回南路村委会对面19号,昌平区,110114,北京市,北京市,黄焖鸡米饭,116.409352,40.08553,2#20170618#ae03e142c1ddd2e6c9c2a79e58068a36,餐饮服务;餐饮相关场所;餐饮相关, 
191,6185,庞各庄镇西韩路梨花村第一烤肉店前行,大兴区,110115,北京市,北京市,三生三世自助烧烤,116.24613,39.586689,m#20170618#47cd4f2d7054ac0699ef7d9c72eff5d7,餐饮服务;餐饮相关场所;餐饮相关, 
192,6190,悦秀路通厦公元99号一层,海淀区,110108,北京市,北京市,91happy(安宁庄店),116.326367,40.049885,p#20170618#82218ae960872dff49d024180c1b72eb,餐饮服务;餐饮相关场所;餐饮相关, 
193,6198,西红门欣荣南大街星光旅馆西30米路北,大兴区,110115,北京市,北京市,小田周黑鸭,116.344377,39.783844,y#20170618#5ea92e5577402a0f5503fd0b01002bdf,餐饮服务;餐饮相关场所;餐饮相关, 
194,6233,崇文门外大街18号国瑞购物中心G层,东城区,110101,北京市,北京市,Tako章鱼小丸子(国瑞购物中心),116.419959,39.898442,g#20170620#5c0589d313b0d33a3e7f7b05a7aa2edf,餐饮服务;餐饮相关场所;餐饮相关, 
195,6240,建设部院内乙3号楼,海淀区,110108,北京市,北京市,建缘香兰州拉面,116.330256,39.930988,o#20170618#08ed93ee8f1b6b130110befa5501d803,餐饮服务;餐饮相关场所;餐饮相关, 
196,6258,北洼路28号,海淀区,110108,北京市,北京市,久久丫(北洼路店),116.304478,39.936881,p#20170618#ed27c3d7dd2ba6b15d5512ea5f0d03d8,餐饮服务;餐饮相关场所;餐饮相关, 
